Metric,Date,AvgC,AvgT,StdC,StdT,NC,NT
APlusMissingRate,7/30/2016,0.001268015,0.001194887,0.032245483,0.031108652,1399541,1398634
APlusMissingRate,7/31/2016,0.001009599,0.001019614,0.027973658,0.027814509,1428075,1430307
APlusMissingRate,8/1/2016,0.000808641,0.0008196,0.025331199,0.025384846,2242944,2244158
APlusMissingRate,8/2/2016,0.000797347,0.000772635,0.02510574,0.024460814,2219312,2218947
APlusMissingRate,8/3/2016,0.000701409,0.000687558,0.022859297,0.022422716,2206767,2205546
APlusMissingRate,8/4/2016,0.000708091,0.000699343,0.023073939,0.023012259,2307901,2307627
APlusMissingRate,8/5/2016,0.000889479,0.000892632,0.026706838,0.026638061,2226844,2230201
APlusMissingRate,8/6/2016,0.000937931,0.000910524,0.026785751,0.026346097,1530074,1531944
APlusMissingRate,8/7/2016,0.001219007,0.001283186,0.031514628,0.032395494,1673301,1672955
APlusMissingRate,8/8/2016,0.000642269,0.000640946,0.021707043,0.021679963,2629160,2632841
APlusMissingRate,8/9/2016,0.000993817,0.000957892,0.028764849,0.028083308,2573488,2573400
APlusMissingRate,8/10/2016,0.000882307,0.000903033,0.026554048,0.026922165,2586689,2587346
APlusMissingRate,8/11/2016,0.000787591,0.000791746,0.024626102,0.02465143,2543623,2545881
APlusMissingRate,8/12/2016,0.000774277,0.00074304,0.024033895,0.023653382,2387772,2389272
ATLAWebAnswerCdgFromCacheRate,7/30/2016,0.186215396,0.186738421,0.329162617,0.329415809,1394868,1394008
ATLAWebAnswerCdgFromCacheRate,7/31/2016,0.196902535,0.19648377,0.335300955,0.334832113,1423940,1426130
ATLAWebAnswerCdgFromCacheRate,8/1/2016,0.19852736,0.198763895,0.338377831,0.338409001,2235727,2237165
ATLAWebAnswerCdgFromCacheRate,8/2/2016,0.212140503,0.211874791,0.347413432,0.347202288,2212201,2211889
ATLAWebAnswerCdgFromCacheRate,8/3/2016,0.231600402,0.23125354,0.358704816,0.35833422,2199956,2198693
ATLAWebAnswerCdgFromCacheRate,8/4/2016,0.224947922,0.224945254,0.355073469,0.354980559,2300891,2300651
ATLAWebAnswerCdgFromCacheRate,8/5/2016,0.189816398,0.189734796,0.329728852,0.329521341,2220122,2223565
ATLAWebAnswerCdgFromCacheRate,8/6/2016,0.153846141,0.153660681,0.296440353,0.296177519,1525725,1527712
ATLAWebAnswerCdgFromCacheRate,8/7/2016,0.161418731,0.161927438,0.303579491,0.304036205,1667909,1667654
ATLAWebAnswerCdgFromCacheRate,8/8/2016,0.161989363,0.161790788,0.306734662,0.306391528,2621239,2624970
ATLAWebAnswerCdgFromCacheRate,8/9/2016,0.167188224,0.167553715,0.310328885,0.310500445,2565387,2565334
ATLAWebAnswerCdgFromCacheRate,8/10/2016,0.183706551,0.184028048,0.324538659,0.324610461,2578464,2579296
ATLAWebAnswerCdgFromCacheRate,8/11/2016,0.193436421,0.19353187,0.332836333,0.332741365,2535777,2537860
ATLAWebAnswerCdgFromCacheRate,8/12/2016,0.207159681,0.206843586,0.342991246,0.342545689,2380611,2382176
ATLAWebAnswerFromCacheRate,7/30/2016,0.16091666,0.161362771,0.310878296,0.311179419,1394868,1394008
ATLAWebAnswerFromCacheRate,7/31/2016,0.16930598,0.168772113,0.31693451,0.316375127,1423940,1426130
ATLAWebAnswerFromCacheRate,8/1/2016,0.179279634,0.179566267,0.326452309,0.326507272,2235727,2237165
ATLAWebAnswerFromCacheRate,8/2/2016,0.202331953,0.202006174,0.341848183,0.341591501,2212201,2211889
ATLAWebAnswerFromCacheRate,8/3/2016,0.21766713,0.217315241,0.351020778,0.350652744,2199956,2198693
ATLAWebAnswerFromCacheRate,8/4/2016,0.208567586,0.208544935,0.345508171,0.345387272,2300891,2300651
ATLAWebAnswerFromCacheRate,8/5/2016,0.176015424,0.175920305,0.320241218,0.320010374,2220122,2223565
ATLAWebAnswerFromCacheRate,8/6/2016,0.144079684,0.143786235,0.288404505,0.288011733,1525725,1527712
ATLAWebAnswerFromCacheRate,8/7/2016,0.141765453,0.142295732,0.286602511,0.287067668,1667909,1667654
ATLAWebAnswerFromCacheRate,8/8/2016,0.142909096,0.142689229,0.28946858,0.289020453,2621239,2624970
ATLAWebAnswerFromCacheRate,8/9/2016,0.156006427,0.1563149,0.300923139,0.301057765,2565387,2565334
ATLAWebAnswerFromCacheRate,8/10/2016,0.177074916,0.177357974,0.319867924,0.3199558,2578464,2579296
ATLAWebAnswerFromCacheRate,8/11/2016,0.177808379,0.177884668,0.32119168,0.321135457,2535777,2537860
ATLAWebAnswerFromCacheRate,8/12/2016,0.194942051,0.194719925,0.335542296,0.335217943,2380611,2382176
ATLAWebAnswerIsnFromCacheRate,7/30/2016,0.173739074,0.174311879,0.320996245,0.321401178,1394868,1394008
ATLAWebAnswerIsnFromCacheRate,7/31/2016,0.184417267,0.184043679,0.328202775,0.327838616,1423940,1426130
ATLAWebAnswerIsnFromCacheRate,8/1/2016,0.192774482,0.19319484,0.336053614,0.336168864,2235727,2237165
ATLAWebAnswerIsnFromCacheRate,8/2/2016,0.213373932,0.212895616,0.348650159,0.348266166,2212201,2211889
ATLAWebAnswerIsnFromCacheRate,8/3/2016,0.231688951,0.231283975,0.35930569,0.358925315,2199956,2198693
ATLAWebAnswerIsnFromCacheRate,8/4/2016,0.221370013,0.221514379,0.353264883,0.353268022,2300891,2300651
ATLAWebAnswerIsnFromCacheRate,8/5/2016,0.185735421,0.185622719,0.327150367,0.326893013,2220122,2223565
ATLAWebAnswerIsnFromCacheRate,8/6/2016,0.159478612,0.159086954,0.302570065,0.302061711,1525725,1527712
ATLAWebAnswerIsnFromCacheRate,8/7/2016,0.157747272,0.158398186,0.301293369,0.301808975,1667909,1667654
ATLAWebAnswerIsnFromCacheRate,8/8/2016,0.152672073,0.152460445,0.298048662,0.297625941,2621239,2624970
ATLAWebAnswerIsnFromCacheRate,8/9/2016,0.168785537,0.169231167,0.311704255,0.311936153,2565387,2565334
ATLAWebAnswerIsnFromCacheRate,8/10/2016,0.192991293,0.193412257,0.331861673,0.332012488,2578464,2579296
ATLAWebAnswerIsnFromCacheRate,8/11/2016,0.188452501,0.188532069,0.328746129,0.328706505,2535777,2537860
ATLAWebAnswerIsnFromCacheRate,8/12/2016,0.210276586,0.210034106,0.345936895,0.345617657,2380611,2382176
AbandonNonSingleQueryChainsPerUU,7/30/2016,0.052695219,0.053441786,0.335688327,0.373884432,1686301,1685535
AbandonNonSingleQueryChainsPerUU,7/31/2016,0.054152238,0.054202312,0.335057154,0.369567391,1730898,1731642
AbandonNonSingleQueryChainsPerUU,8/1/2016,0.065659127,0.065975319,0.367853442,0.366325394,2616209,2618267
AbandonNonSingleQueryChainsPerUU,8/2/2016,0.069189975,0.069264527,0.402840071,0.412632711,2601215,2601808
AbandonNonSingleQueryChainsPerUU,8/3/2016,0.066429938,0.066635135,0.389946198,0.408591552,2579048,2577304
AbandonNonSingleQueryChainsPerUU,8/4/2016,0.064628786,0.064999357,0.348022057,0.424666389,2699308,2698319
AbandonNonSingleQueryChainsPerUU,8/5/2016,0.06379026,0.064667503,0.364004265,0.38603604,2606887,2609858
AbandonNonSingleQueryChainsPerUU,8/6/2016,0.055423904,0.056048368,0.376980269,0.411660313,1849581,1850491
AbandonNonSingleQueryChainsPerUU,8/7/2016,0.055960995,0.055905226,0.402085786,0.396617823,2031540,2031116
AbandonNonSingleQueryChainsPerUU,8/8/2016,0.067963754,0.068225844,0.36833384,0.429853952,3067179,3071534
AbandonNonSingleQueryChainsPerUU,8/9/2016,0.071172295,0.07120557,0.385290123,0.423057824,2999552,2999667
AbandonNonSingleQueryChainsPerUU,8/10/2016,0.066525516,0.067220826,0.348141408,0.391310247,3020886,3020433
AbandonNonSingleQueryChainsPerUU,8/11/2016,0.066491186,0.066609468,0.351830347,0.381555646,2967085,2969788
AbandonNonSingleQueryChainsPerUU,8/12/2016,0.067603243,0.06753635,0.388491613,0.412094675,2791656,2793814
AbandonQueryChainSuccessRate,7/30/2016,0.890246654,0.889268522,0.28426094,0.285029583,453641,453872
AbandonQueryChainSuccessRate,7/31/2016,0.887907676,0.887395963,0.286477278,0.287407441,463674,463691
AbandonQueryChainSuccessRate,8/1/2016,0.877844686,0.877000201,0.294618784,0.295682224,759991,760540
AbandonQueryChainSuccessRate,8/2/2016,0.874075344,0.873828445,0.297162233,0.297392208,749926,749757
AbandonQueryChainSuccessRate,8/3/2016,0.876893512,0.877019166,0.296067981,0.29564967,754425,754976
AbandonQueryChainSuccessRate,8/4/2016,0.87833378,0.878257857,0.294874049,0.294843428,788217,788723
AbandonQueryChainSuccessRate,8/5/2016,0.879337375,0.87801393,0.293917214,0.295299887,760300,761533
AbandonQueryChainSuccessRate,8/6/2016,0.886067632,0.885283351,0.288545576,0.289546375,503332,504190
AbandonQueryChainSuccessRate,8/7/2016,0.886382469,0.886148902,0.287865662,0.288104537,551201,550609
AbandonQueryChainSuccessRate,8/8/2016,0.875339976,0.874964707,0.297117993,0.297628153,906824,907928
AbandonQueryChainSuccessRate,8/9/2016,0.875761959,0.875835579,0.295947114,0.295908313,896820,896111
AbandonQueryChainSuccessRate,8/10/2016,0.877786415,0.8773029,0.294786627,0.295321393,896445,897001
AbandonQueryChainSuccessRate,8/11/2016,0.878742631,0.878517971,0.293768692,0.293972449,885925,885810
AbandonQueryChainSuccessRate,8/12/2016,0.878537873,0.878551919,0.293895142,0.293711673,824700,822728
AbandonQueryChainsPerUU,7/30/2016,0.457125982,0.456835367,1.595795104,1.693120395,1686301,1685535
AbandonQueryChainsPerUU,7/31/2016,0.461487043,0.461187128,1.615274056,1.70974103,1730898,1731642
AbandonQueryChainsPerUU,8/1/2016,0.519792188,0.519773957,1.793559482,1.742205779,2616209,2618267
AbandonQueryChainsPerUU,8/2/2016,0.520908114,0.520491135,1.876467424,1.877494227,2601215,2601808
AbandonQueryChainsPerUU,8/3/2016,0.522390045,0.52443212,1.819943522,1.912875804,2579048,2577304
AbandonQueryChainsPerUU,8/4/2016,0.515920747,0.517792744,1.645483289,1.82988379,2699308,2698319
AbandonQueryChainsPerUU,8/5/2016,0.513222092,0.515017675,1.75814226,1.830319252,2606887,2609858
AbandonQueryChainsPerUU,8/6/2016,0.468828345,0.470943658,1.681825914,1.973174512,1849581,1850491
AbandonQueryChainsPerUU,8/7/2016,0.466568711,0.46557656,1.837257478,1.803015737,2031540,2031116
AbandonQueryChainsPerUU,8/8/2016,0.524687343,0.52436242,1.742270563,1.96318147,3067179,3071534
AbandonQueryChainsPerUU,8/9/2016,0.551171975,0.551657567,1.867386514,2.030332892,2999552,2999667
AbandonQueryChainsPerUU,8/10/2016,0.521119963,0.524042414,1.5953365,1.801315983,3020886,3020433
AbandonQueryChainsPerUU,8/11/2016,0.525258292,0.524462015,1.636134709,1.725917156,2967085,2969788
AbandonQueryChainsPerUU,8/12/2016,0.537937697,0.536154519,1.917725235,1.826684174,2791656,2793814
AbandonedDSQUU,7/30/2016,1.651515358,1.653855897,3.390579912,3.479004694,1686301,1685535
AbandonedDSQUU,7/31/2016,1.699999076,1.696700011,3.459615826,3.527350777,1730898,1731642
AbandonedDSQUU,8/1/2016,1.589181904,1.592518639,3.405337735,3.390336876,2616209,2618267
AbandonedDSQUU,8/2/2016,1.582043776,1.579836022,3.49264774,3.507036541,2601215,2601808
AbandonedDSQUU,8/3/2016,1.561970541,1.561691209,3.445334109,3.469679273,2579048,2577304
AbandonedDSQUU,8/4/2016,1.55041255,1.555922039,3.216736421,3.435980155,2699308,2698319
AbandonedDSQUU,8/5/2016,1.560667187,1.56168075,3.322517909,3.35946294,2606887,2609858
AbandonedDSQUU,8/6/2016,1.682216675,1.681507232,3.506389655,3.650128178,1849581,1850491
AbandonedDSQUU,8/7/2016,1.713868789,1.709513883,3.646263306,3.625075816,2031540,2031116
AbandonedDSQUU,8/8/2016,1.594338641,1.592428083,3.377826708,3.554135311,3067179,3071534
AbandonedDSQUU,8/9/2016,1.610580847,1.612597998,3.514914714,3.597977016,2999552,2999667
AbandonedDSQUU,8/10/2016,1.573030892,1.579272243,3.202162293,3.376100244,3020886,3020433
AbandonedDSQUU,8/11/2016,1.569780441,1.57125054,3.221050165,3.306359191,2967085,2969788
AbandonedDSQUU,8/12/2016,1.584377875,1.582617884,3.449148539,3.445263437,2791656,2793814
AbandonedSingleQueryChainDSQUU,7/30/2016,1.379444714,1.380193232,2.677664558,2.721671522,1686301,1685535
AbandonedSingleQueryChainDSQUU,7/31/2016,1.420120654,1.417070619,2.758294647,2.783854359,1730898,1731642
AbandonedSingleQueryChainDSQUU,8/1/2016,1.287192269,1.28978519,2.693269082,2.666408305,2616209,2618267
AbandonedSingleQueryChainDSQUU,8/2/2016,1.272876713,1.270081036,2.685374753,2.682730259,2601215,2601808
AbandonedSingleQueryChainDSQUU,8/3/2016,1.262028469,1.262460695,2.64861605,2.686007938,2579048,2577304
AbandonedSingleQueryChainDSQUU,8/4/2016,1.256702088,1.260465127,2.539043863,2.598231684,2699308,2698319
AbandonedSingleQueryChainDSQUU,8/5/2016,1.267240582,1.267915726,2.596478918,2.626698762,2606887,2609858
AbandonedSingleQueryChainDSQUU,8/6/2016,1.401618529,1.400763905,2.702026438,2.846440868,1849581,1850491
AbandonedSingleQueryChainDSQUU,8/7/2016,1.427902478,1.422757243,2.807055529,2.772083947,2031540,2031116
AbandonedSingleQueryChainDSQUU,8/8/2016,1.286402913,1.284447771,2.64162527,2.725723883,3067179,3071534
AbandonedSingleQueryChainDSQUU,8/9/2016,1.295094401,1.297048972,2.684721846,2.75178162,2999552,2999667
AbandonedSingleQueryChainDSQUU,8/10/2016,1.270792741,1.274828808,2.537082838,2.614365901,3020886,3020433
AbandonedSingleQueryChainDSQUU,8/11/2016,1.269270007,1.269515198,2.547879709,2.569845002,2967085,2969788
AbandonedSingleQueryChainDSQUU,8/12/2016,1.28354783,1.281811173,2.692933054,2.611120369,2791656,2793814
AbandonedTriggeredDSQUU,7/30/2016,1.651515358,1.653855897,3.390579912,3.479004694,1686301,1685535
AbandonedTriggeredDSQUU,7/31/2016,1.699999076,1.696700011,3.459615826,3.527350777,1730898,1731642
AbandonedTriggeredDSQUU,8/1/2016,1.589181904,1.592518639,3.405337735,3.390336876,2616209,2618267
AbandonedTriggeredDSQUU,8/2/2016,1.582043776,1.579836022,3.49264774,3.507036541,2601215,2601808
AbandonedTriggeredDSQUU,8/3/2016,1.561970541,1.561691209,3.445334109,3.469679273,2579048,2577304
AbandonedTriggeredDSQUU,8/4/2016,1.55041255,1.555922039,3.216736421,3.435980155,2699308,2698319
AbandonedTriggeredDSQUU,8/5/2016,1.560667187,1.56168075,3.322517909,3.35946294,2606887,2609858
AbandonedTriggeredDSQUU,8/6/2016,1.682216675,1.681507232,3.506389655,3.650128178,1849581,1850491
AbandonedTriggeredDSQUU,8/7/2016,1.713868789,1.709513883,3.646263306,3.625075816,2031540,2031116
AbandonedTriggeredDSQUU,8/8/2016,1.594338641,1.592428083,3.377826708,3.554135311,3067179,3071534
AbandonedTriggeredDSQUU,8/9/2016,1.610580847,1.612597998,3.514914714,3.597977016,2999552,2999667
AbandonedTriggeredDSQUU,8/10/2016,1.573030892,1.579272243,3.202162293,3.376100244,3020886,3020433
AbandonedTriggeredDSQUU,8/11/2016,1.569780441,1.57125054,3.221050165,3.306359191,2967085,2969788
AbandonedTriggeredDSQUU,8/12/2016,1.584377875,1.582617884,3.449148539,3.445263437,2791656,2793814
AbandonedTriggeredSingleQueryChainDSQUU,7/30/2016,1.379444714,1.380193232,2.677664558,2.721671522,1686301,1685535
AbandonedTriggeredSingleQueryChainDSQUU,7/31/2016,1.420120654,1.417070619,2.758294647,2.783854359,1730898,1731642
AbandonedTriggeredSingleQueryChainDSQUU,8/1/2016,1.287192269,1.28978519,2.693269082,2.666408305,2616209,2618267
AbandonedTriggeredSingleQueryChainDSQUU,8/2/2016,1.272876713,1.270081036,2.685374753,2.682730259,2601215,2601808
AbandonedTriggeredSingleQueryChainDSQUU,8/3/2016,1.262028469,1.262460695,2.64861605,2.686007938,2579048,2577304
AbandonedTriggeredSingleQueryChainDSQUU,8/4/2016,1.256702088,1.260465127,2.539043863,2.598231684,2699308,2698319
AbandonedTriggeredSingleQueryChainDSQUU,8/5/2016,1.267240582,1.267915726,2.596478918,2.626698762,2606887,2609858
AbandonedTriggeredSingleQueryChainDSQUU,8/6/2016,1.401618529,1.400763905,2.702026438,2.846440868,1849581,1850491
AbandonedTriggeredSingleQueryChainDSQUU,8/7/2016,1.427902478,1.422757243,2.807055529,2.772083947,2031540,2031116
AbandonedTriggeredSingleQueryChainDSQUU,8/8/2016,1.286402913,1.284447771,2.64162527,2.725723883,3067179,3071534
AbandonedTriggeredSingleQueryChainDSQUU,8/9/2016,1.295094401,1.297048972,2.684721846,2.75178162,2999552,2999667
AbandonedTriggeredSingleQueryChainDSQUU,8/10/2016,1.270792741,1.274828808,2.537082838,2.614365901,3020886,3020433
AbandonedTriggeredSingleQueryChainDSQUU,8/11/2016,1.269270007,1.269515198,2.547879709,2.569845002,2967085,2969788
AbandonedTriggeredSingleQueryChainDSQUU,8/12/2016,1.28354783,1.281811173,2.692933054,2.611120369,2791656,2793814
AbandonedTriggerednonSingleQueryChainDSQUU,7/30/2016,0.272070645,0.273662665,1.380589703,1.407433505,1686301,1685535
AbandonedTriggerednonSingleQueryChainDSQUU,7/31/2016,0.279878421,0.279629392,1.383005173,1.415558504,1730898,1731642
AbandonedTriggerednonSingleQueryChainDSQUU,8/1/2016,0.301989635,0.302733449,1.381527965,1.418735525,2616209,2618267
AbandonedTriggerednonSingleQueryChainDSQUU,8/2/2016,0.309167062,0.309754986,1.521760043,1.527407387,2601215,2601808
AbandonedTriggerednonSingleQueryChainDSQUU,8/3/2016,0.299942072,0.299230514,1.507114774,1.420360805,2579048,2577304
AbandonedTriggerednonSingleQueryChainDSQUU,8/4/2016,0.293710462,0.295456912,1.337943069,1.522308155,2699308,2698319
AbandonedTriggerednonSingleQueryChainDSQUU,8/5/2016,0.293426604,0.293765025,1.410671157,1.367752201,2606887,2609858
AbandonedTriggerednonSingleQueryChainDSQUU,8/6/2016,0.280598146,0.280743327,1.531510254,1.419216047,1849581,1850491
AbandonedTriggerednonSingleQueryChainDSQUU,8/7/2016,0.285966311,0.28675664,1.523195472,1.516407583,2031540,2031116
AbandonedTriggerednonSingleQueryChainDSQUU,8/8/2016,0.307935729,0.307980312,1.424848327,1.485024981,3067179,3071534
AbandonedTriggerednonSingleQueryChainDSQUU,8/9/2016,0.315486446,0.315549026,1.557831093,1.495129674,2999552,2999667
AbandonedTriggerednonSingleQueryChainDSQUU,8/10/2016,0.302238151,0.304443436,1.349112121,1.406549612,3020886,3020433
AbandonedTriggerednonSingleQueryChainDSQUU,8/11/2016,0.300510434,0.301735343,1.343501411,1.407190739,2967085,2969788
AbandonedTriggerednonSingleQueryChainDSQUU,8/12/2016,0.300830045,0.300806711,1.451490634,1.554468298,2791656,2793814
ActionButtonsDeepLinksFastBackClickRate,7/30/2016,0.060174043,0.063157955,0.22812641,0.233083682,5596,5568
ActionButtonsDeepLinksFastBackClickRate,7/31/2016,0.05644997,0.059025309,0.22103371,0.226702723,5148,5209
ActionButtonsDeepLinksFastBackClickRate,8/1/2016,0.054504258,0.050816696,0.21760948,0.210939999,8728,8644
ActionButtonsDeepLinksFastBackClickRate,8/2/2016,0.056087547,0.054106948,0.220700895,0.218290287,8318,8217
ActionButtonsDeepLinksFastBackClickRate,8/3/2016,0.051892133,0.061158749,0.212042923,0.233220936,8122,8011
ActionButtonsDeepLinksFastBackClickRate,8/4/2016,0.054543903,0.055128431,0.218264102,0.221483713,8336,8117
ActionButtonsDeepLinksFastBackClickRate,8/5/2016,0.055412229,0.051970281,0.220578036,0.21284871,8303,8306
ActionButtonsDeepLinksFastBackClickRate,8/6/2016,0.055926063,0.061550898,0.221504275,0.23041492,5680,5815
ActionButtonsDeepLinksFastBackClickRate,8/7/2016,0.058928174,0.057273577,0.22778603,0.224365409,5869,5767
ActionButtonsDeepLinksFastBackClickRate,8/8/2016,0.055800538,0.055483767,0.221242567,0.220521136,10109,9889
ActionButtonsDeepLinksFastBackClickRate,8/9/2016,0.060332804,0.063646134,0.231334385,0.236470134,9582,9438
ActionButtonsDeepLinksFastBackClickRate,8/10/2016,0.055338147,0.059274569,0.21847592,0.228354462,9552,9427
ActionButtonsDeepLinksFastBackClickRate,8/11/2016,0.057658333,0.062826579,0.22382705,0.233379657,9962,9679
ActionButtonsDeepLinksFastBackClickRate,8/12/2016,0.054540339,0.061841235,0.218085157,0.23143987,10033,9957
ActionButtonsDeepLinksItemCTR,7/30/2016,0.017990076,0.017721083,0.124387953,0.123101421,233055,233205
ActionButtonsDeepLinksItemCTR,7/31/2016,0.015986096,0.016521421,0.116841602,0.119420442,237928,237592
ActionButtonsDeepLinksItemCTR,8/1/2016,0.017224292,0.017166366,0.121602778,0.121667032,379950,380655
ActionButtonsDeepLinksItemCTR,8/2/2016,0.01686988,0.016675017,0.120295326,0.119711127,369620,369976
ActionButtonsDeepLinksItemCTR,8/3/2016,0.01709197,0.01669927,0.121453631,0.11987796,360594,360471
ActionButtonsDeepLinksItemCTR,8/4/2016,0.016849982,0.016503869,0.120352637,0.119254506,372425,371894
ActionButtonsDeepLinksItemCTR,8/5/2016,0.016874087,0.016955237,0.120389758,0.120922062,369778,370558
ActionButtonsDeepLinksItemCTR,8/6/2016,0.017218359,0.017749995,0.121873193,0.123828809,249126,248697
ActionButtonsDeepLinksItemCTR,8/7/2016,0.016056053,0.016003483,0.117398951,0.117489176,272595,271284
ActionButtonsDeepLinksItemCTR,8/8/2016,0.016990035,0.016758819,0.120601257,0.120119902,445135,444241
ActionButtonsDeepLinksItemCTR,8/9/2016,0.017038434,0.016634997,0.121060612,0.119420289,423400,423786
ActionButtonsDeepLinksItemCTR,8/10/2016,0.016711559,0.016314793,0.120207015,0.118405817,433722,432791
ActionButtonsDeepLinksItemCTR,8/11/2016,0.017364436,0.016748932,0.122333766,0.119999683,433700,432880
ActionButtonsDeepLinksItemCTR,8/12/2016,0.017835315,0.017576341,0.124150643,0.123175513,427641,428171
ActionButtonsDeepLinksItemSatCTR,7/30/2016,0.017063991,0.01679105,0.121684879,0.120409682,233055,233205
ActionButtonsDeepLinksItemSatCTR,7/31/2016,0.015229624,0.01572197,0.114618963,0.11696399,237928,237592
ActionButtonsDeepLinksItemSatCTR,8/1/2016,0.016439282,0.016453287,0.119348317,0.119612344,379950,380655
ActionButtonsDeepLinksItemSatCTR,8/2/2016,0.016067062,0.015914493,0.117910827,0.117519635,369620,369976
ActionButtonsDeepLinksItemSatCTR,8/3/2016,0.016326011,0.015846022,0.11912427,0.117403857,360594,360471
ActionButtonsDeepLinksItemSatCTR,8/4/2016,0.016056374,0.015752779,0.118044953,0.117087723,372425,371894
ActionButtonsDeepLinksItemSatCTR,8/5/2016,0.016095851,0.016178401,0.118082937,0.118645318,369778,370558
ActionButtonsDeepLinksItemSatCTR,8/6/2016,0.016395272,0.016823738,0.119355616,0.120994549,249126,248697
ActionButtonsDeepLinksItemSatCTR,8/7/2016,0.015207436,0.015190036,0.114766163,0.114973101,272595,271284
ActionButtonsDeepLinksItemSatCTR,8/8/2016,0.016183568,0.015962752,0.118203646,0.117778829,445135,444241
ActionButtonsDeepLinksItemSatCTR,8/9/2016,0.01617704,0.015757198,0.11857377,0.116881295,423400,423786
ActionButtonsDeepLinksItemSatCTR,8/10/2016,0.015925748,0.015517111,0.117873878,0.116094467,433722,432791
ActionButtonsDeepLinksItemSatCTR,8/11/2016,0.016521736,0.01588914,0.119920654,0.117446655,433700,432880
ActionButtonsDeepLinksItemSatCTR,8/12/2016,0.017043361,0.016690371,0.121904255,0.120575974,427641,428171
ActionButtonsDeepLinksPageCTR,7/30/2016,0.00182366,0.00177974,0.036596317,0.035965896,1400023,1399150
ActionButtonsDeepLinksPageCTR,7/31/2016,0.001568258,0.001662266,0.033576374,0.034963149,1428657,1430855
ActionButtonsDeepLinksPageCTR,8/1/2016,0.001664408,0.001658384,0.034518551,0.034467002,2243454,2244708
ActionButtonsDeepLinksPageCTR,8/2/2016,0.001620207,0.001586499,0.0341425,0.033757835,2219949,2219621
ActionButtonsDeepLinksPageCTR,8/3/2016,0.00158828,0.001594398,0.033774889,0.034016617,2207500,2206242
ActionButtonsDeepLinksPageCTR,8/4/2016,0.001553591,0.001526741,0.033353736,0.033107575,2308661,2308457
ActionButtonsDeepLinksPageCTR,8/5/2016,0.001635533,0.001623693,0.034317009,0.034275307,2227604,2230947
ActionButtonsDeepLinksPageCTR,8/6/2016,0.00165605,0.001727068,0.034708873,0.035555683,1530784,1532726
ActionButtonsDeepLinksPageCTR,8/7/2016,0.001552478,0.001536204,0.033596749,0.033430684,1673942,1673667
ActionButtonsDeepLinksPageCTR,8/8/2016,0.001631528,0.00161841,0.034010836,0.034076802,2630029,2633732
ActionButtonsDeepLinksPageCTR,8/9/2016,0.00159421,0.001556196,0.033788481,0.033310482,2574308,2574273
ActionButtonsDeepLinksPageCTR,8/10/2016,0.001606188,0.001569163,0.034059996,0.0335487,2587576,2588170
ActionButtonsDeepLinksPageCTR,8/11/2016,0.001725582,0.001678834,0.035539584,0.034944599,2544461,2546650
ActionButtonsDeepLinksPageCTR,8/12/2016,0.001929045,0.001904769,0.037855783,0.037598675,2388602,2390056
ActionButtonsDeepLinksPageCov,7/30/2016,0.089316754,0.089436332,0.248487949,0.248546466,1400023,1399150
ActionButtonsDeepLinksPageCov,7/31/2016,0.087940314,0.087801062,0.245987704,0.245862674,1428657,1430855
ActionButtonsDeepLinksPageCov,8/1/2016,0.087436906,0.087580629,0.243883523,0.24414077,2243454,2244708
ActionButtonsDeepLinksPageCov,8/2/2016,0.086551126,0.086341182,0.24332562,0.242838779,2219949,2219621
ActionButtonsDeepLinksPageCov,8/3/2016,0.085120065,0.084877374,0.241479491,0.241118899,2207500,2206242
ActionButtonsDeepLinksPageCov,8/4/2016,0.084085022,0.083800189,0.240074154,0.239673343,2308661,2308457
ActionButtonsDeepLinksPageCov,8/5/2016,0.086976755,0.08678821,0.243970286,0.243559428,2227604,2230947
ActionButtonsDeepLinksPageCov,8/6/2016,0.086510179,0.086064469,0.244465864,0.24384195,1530784,1532726
ActionButtonsDeepLinksPageCov,8/7/2016,0.086178186,0.085924628,0.243896311,0.243739057,1673942,1673667
ActionButtonsDeepLinksPageCov,8/8/2016,0.087604484,0.087255135,0.244369028,0.243810581,2630029,2633732
ActionButtonsDeepLinksPageCov,8/9/2016,0.085216413,0.085405171,0.241569809,0.24188414,2574308,2574273
ActionButtonsDeepLinksPageCov,8/10/2016,0.086749536,0.086343259,0.24335617,0.242683688,2587576,2588170
ActionButtonsDeepLinksPageCov,8/11/2016,0.089441979,0.089106805,0.247139107,0.246835033,2544461,2546650
ActionButtonsDeepLinksPageCov,8/12/2016,0.0927465,0.092762126,0.251229745,0.251143331,2388602,2390056
AdLosses,7/30/2016,0.119074306,0.110628006,0.280218238,0.271786268,1400023,1399150
AdLosses,7/31/2016,0.119191549,0.110724815,0.281296052,0.274155504,1428657,1430855
AdLosses,8/1/2016,0.119645902,0.10882756,0.274952114,0.264122042,2243454,2244708
AdLosses,8/2/2016,0.117852021,0.107483226,0.273940102,0.262672048,2219949,2219621
AdLosses,8/3/2016,0.115832386,0.105752174,0.272551891,0.261288859,2207500,2206242
AdLosses,8/4/2016,0.112923662,0.10282513,0.268327236,0.258325226,2308661,2308457
AdLosses,8/5/2016,0.117132491,0.106298822,0.273615582,0.2621215,2227604,2230947
AdLosses,8/6/2016,0.11851593,0.108679888,0.27994664,0.269464995,1530784,1532726
